,attributes,datatype,date,station,value
0,",,N,",PRCP,2016-01-01T00:00:00,GHCND:US1UTWG0005,0
1,",,N,",SNOW,2016-01-01T00:00:00,GHCND:US1UTWG0005,0
2,",,N,",PRCP,2016-01-01T00:00:00,GHCND:US1UTWG0014,0
3,",,N,",SNOW,2016-01-01T00:00:00,GHCND:US1UTWG0014,0
4,",,7,0800",PRCP,2016-01-01T00:00:00,GHCND:USC00423506,0
5,",,7,",SNOW,2016-01-01T00:00:00,GHCND:USC00423506,0
6,",,7,",SNWD,2016-01-01T00:00:00,GHCND:USC00423506,0
7,",,7,0800",PRCP,2016-01-01T00:00:00,GHCND:USC00427516,0
8,",,7,",SNOW,2016-01-01T00:00:00,GHCND:USC00427516,0
9,",,7,0800",SNWD,2016-01-01T00:00:00,GHCND:USC00427516,0
10,",,7,0800",TMAX,2016-01-01T00:00:00,GHCND:USC00427516,72
11,",,7,0800",TMIN,2016-01-01T00:00:00,GHCND:USC00427516,-78
12,",,7,0800",TOBS,2016-01-01T00:00:00,GHCND:USC00427516,-72
13,",,N,",PRCP,2016-01-02T00:00:00,GHCND:US1UTWG0005,0
14,",,N,",SNOW,2016-01-02T00:00:00,GHCND:US1UTWG0005,0
15,",,N,",PRCP,2016-01-02T00:00:00,GHCND:US1UTWG0014,0
16,",,N,",SNOW,2016-01-02T00:00:00,GHCND:US1UTWG0014,0
17,",,7,0800",PRCP,2016-01-02T00:00:00,GHCND:USC00423506,0
18,",,7,",SNOW,2016-01-02T00:00:00,GHCND:USC00423506,0
19,",,7,",SNWD,2016-01-02T00:00:00,GHCND:USC00423506,0
20,",,7,0800",PRCP,2016-01-02T00:00:00,GHCND:USC00427516,0
21,",,7,",SNOW,2016-01-02T00:00:00,GHCND:USC00427516,0
22,",,7,0800",SNWD,2016-01-02T00:00:00,GHCND:USC00427516,0
23,",,7,0800",TMAX,2016-01-02T00:00:00,GHCND:USC00427516,72
24,",,7,0800",TMIN,2016-01-02T00:00:00,GHCND:USC00427516,-72
25,",,7,0800",TOBS,2016-01-02T00:00:00,GHCND:USC00427516,-6
26,",,N,",PRCP,2016-01-03T00:00:00,GHCND:US1UTWG0005,0
27,",,N,",SNOW,2016-01-03T00:00:00,GHCND:US1UTWG0005,0
28,",,N,",PRCP,2016-01-03T00:00:00,GHCND:US1UTWG0014,0
29,",,N,",SNOW,2016-01-03T00:00:00,GHCND:US1UTWG0014,0
30,",,7,0800",PRCP,2016-01-03T00:00:00,GHCND:USC00423506,0
31,",,7,",SNOW,2016-01-03T00:00:00,GHCND:USC00423506,0
32,",,7,",SNWD,2016-01-03T00:00:00,GHCND:USC00423506,0
33,",,7,0800",PRCP,2016-01-03T00:00:00,GHCND:USC00427516,0
34,",,7,",SNOW,2016-01-03T00:00:00,GHCND:USC00427516,0
35,",,7,0800",SNWD,2016-01-03T00:00:00,GHCND:USC00427516,0
36,",,7,0800",TMAX,2016-01-03T00:00:00,GHCND:USC00427516,106
37,",,7,0800",TMIN,2016-01-03T00:00:00,GHCND:USC00427516,-11
38,",,7,0800",TOBS,2016-01-03T00:00:00,GHCND:USC00427516,-6
39,",,N,",PRCP,2016-01-04T00:00:00,GHCND:US1UTWG0005,25
40,"T,,N,",PRCP,2016-01-04T00:00:00,GHCND:US1UTWG0014,0
41,",,7,0800",PRCP,2016-01-04T00:00:00,GHCND:USC00423506,0
42,",,7,",SNOW,2016-01-04T00:00:00,GHCND:USC00423506,0
43,",,7,",SNWD,2016-01-04T00:00:00,GHCND:USC00423506,0
44,"T,,7,0800",PRCP,2016-01-04T00:00:00,GHCND:USC00427516,0
45,",,7,",SNOW,2016-01-04T00:00:00,GHCND:USC00427516,0
46,",,7,0800",SNWD,2016-01-04T00:00:00,GHCND:USC00427516,0
47,",,7,0800",TMAX,2016-01-04T00:00:00,GHCND:USC00427516,100
48,",,7,0800",TMIN,2016-01-04T00:00:00,GHCND:USC00427516,-11
49,",,7,0800",TOBS,2016-01-04T00:00:00,GHCND:USC00427516,50
50,",,N,",PRCP,2016-01-05T00:00:00,GHCND:US1UTWG0005,25
51,",,N,",PRCP,2016-01-05T00:00:00,GHCND:US1UTWG0014,23
52,",,7,0800",PRCP,2016-01-05T00:00:00,GHCND:USC00423506,0
53,",,7,",SNOW,2016-01-05T00:00:00,GHCND:USC00423506,0
54,",,7,",SNWD,2016-01-05T00:00:00,GHCND:USC00423506,0
55,",,7,0800",PRCP,2016-01-05T00:00:00,GHCND:USC00427516,25
56,",,7,",SNOW,2016-01-05T00:00:00,GHCND:USC00427516,0
57,",,7,0800",SNWD,2016-01-05T00:00:00,GHCND:USC00427516,0
58,",,7,0800",TMAX,2016-01-05T00:00:00,GHCND:USC00427516,100
59,",,7,0800",TMIN,2016-01-05T00:00:00,GHCND:USC00427516,44
60,",,7,0800",TOBS,2016-01-05T00:00:00,GHCND:USC00427516,50
61,",,N,",PRCP,2016-01-06T00:00:00,GHCND:US1UTWG0005,155
62,",,N,",PRCP,2016-01-06T00:00:00,GHCND:US1UTWG0014,226
63,",,7,0800",PRCP,2016-01-06T00:00:00,GHCND:USC00423506,157
64,",,7,",SNOW,2016-01-06T00:00:00,GHCND:USC00423506,0
65,",,7,",SNWD,2016-01-06T00:00:00,GHCND:USC00423506,0
66,",,7,0800",PRCP,2016-01-06T00:00:00,GHCND:USC00427516,147
67,",,7,",SNOW,2016-01-06T00:00:00,GHCND:USC00427516,0
68,",,7,0800",SNWD,2016-01-06T00:00:00,GHCND:USC00427516,0
69,",,7,0800",TMAX,2016-01-06T00:00:00,GHCND:USC00427516,78
70,",,7,0800",TMIN,2016-01-06T00:00:00,GHCND:USC00427516,50
71,",,7,0800",TOBS,2016-01-06T00:00:00,GHCND:USC00427516,50
72,",,N,",PRCP,2016-01-07T00:00:00,GHCND:US1UTWG0005,124
73,",,N,",PRCP,2016-01-07T00:00:00,GHCND:US1UTWG0014,163
74,",,7,0800",PRCP,2016-01-07T00:00:00,GHCND:USC00423506,216
75,",,7,",SNOW,2016-01-07T00:00:00,GHCND:USC00423506,0
76,",,7,",SNWD,2016-01-07T00:00:00,GHCND:USC00423506,0
77,",,7,0800",PRCP,2016-01-07T00:00:00,GHCND:USC00427516,117
78,",,7,",SNOW,2016-01-07T00:00:00,GHCND:USC00427516,0
79,",,7,0800",SNWD,2016-01-07T00:00:00,GHCND:USC00427516,0
80,",,7,0800",TMAX,2016-01-07T00:00:00,GHCND:USC00427516,83
81,",,7,0800",TMIN,2016-01-07T00:00:00,GHCND:USC00427516,22
82,",,7,0800",TOBS,2016-01-07T00:00:00,GHCND:USC00427516,28
83,",,N,",PRCP,2016-01-08T00:00:00,GHCND:US1UTWG0005,13
84,",,N,",PRCP,2016-01-08T00:00:00,GHCND:US1UTWG0014,81
85,",,7,0800",PRCP,2016-01-08T00:00:00,GHCND:USC00423506,51
86,",,7,",SNOW,2016-01-08T00:00:00,GHCND:USC00423506,0
87,",,7,",SNWD,2016-01-08T00:00:00,GHCND:USC00423506,0
88,",,7,0800",PRCP,2016-01-08T00:00:00,GHCND:USC00427516,15
89,",,7,",SNOW,2016-01-08T00:00:00,GHCND:USC00427516,0
90,",,7,0800",SNWD,2016-01-08T00:00:00,GHCND:USC00427516,0
91,",,7,0800",TMAX,2016-01-08T00:00:00,GHCND:USC00427516,56
92,",,7,0800",TMIN,2016-01-08T00:00:00,GHCND:USC00427516,17
93,",,7,0800",TOBS,2016-01-08T00:00:00,GHCND:USC00427516,22
94,",,N,",PRCP,2016-01-09T00:00:00,GHCND:US1UTWG0014,0
95,",,N,",SNOW,2016-01-09T00:00:00,GHCND:US1UTWG0014,0
96,",,7,0800",PRCP,2016-01-09T00:00:00,GHCND:USC00423506,0
97,",,7,",SNOW,2016-01-09T00:00:00,GHCND:USC00423506,0
98,",,7,",SNWD,2016-01-09T00:00:00,GHCND:USC00423506,0
99,",,7,0800",PRCP,2016-01-09T00:00:00,GHCND:USC00427516,0
100,",,7,",SNOW,2016-01-09T00:00:00,GHCND:USC00427516,0
101,",,7,0800",SNWD,2016-01-09T00:00:00,GHCND:USC00427516,0
102,",,7,0800",TMAX,2016-01-09T00:00:00,GHCND:USC00427516,89
103,",,7,0800",TMIN,2016-01-09T00:00:00,GHCND:USC00427516,-17
